wrist_thumb0,wrist_thumb1,wrist_thumb2,wrist_thumb3,wrist_index1,wrist_index2,wrist_index3,wrist_middle1,wrist_middle2,wrist_middle3,wrist_ring1,wrist_ring2,wrist_ring3,wrist_pinky0,wrist_pinky1,wrist_pinky2,wrist_pinky3,Sign
0.026081163768896503,0.04904343353691705,0.08161396939666393,0.11526242915292084,0.1016694906209606,0.1394174725112638,0.16380782194919905,0.0981640526447156,0.11836138220019822,0.09953688361145378,0.09297002302902209,0.11346459547675829,0.1005012690353893,0.0432620622068389,0.0887412928220769,0.119741718904614,0.14036150461884944,love
0.026081132572417176,0.04920456038265153,0.08176020321360511,0.11536612961102623,0.10166945132167282,0.13944101581461965,0.16371992856652243,0.09816399522727058,0.11522881936053542,0.09196802235769182,0.09296995785211533,0.1074240027080545,0.08617466779469997,0.04326202000300033,0.08874123950922085,0.11789558955127584,0.13747874085732092,love
0.026081141155631985,0.04871935224990169,0.08167777785303663,0.11568070855951784,0.10166948553455409,0.1383473026574772,0.16201626684367254,0.09816405958903697,0.11423424894958431,0.09218097873918676,0.09297001359454563,0.10769916459992854,0.09048852557495896,0.04326207248086944,0.08874131735702373,0.11752080608599569,0.13740691868214827,love
0.026081156792979867,0.04883586703940047,0.08137636506934923,0.11502848130106734,0.10166948318925399,0.13886332273368265,0.1629499525505534,0.09816405322341776,0.11474257718317164,0.09239084563414493,0.09297008174159523,0.10899442252061572,0.09096636279855098,0.043262070884551966,0.08874130283798463,0.1185824278847524,0.13854491124043097,love
0.026081153625990144,0.04874880869023261,0.08134631223144229,0.11502651056348401,0.10166948552628562,0.1388776581570621,0.16289428796507904,0.09816403870526008,0.11711933079312953,0.09567373309217374,0.09297000239029468,0.11190551947013604,0.09459310237481165,0.04326205325319753,0.08874126252910816,0.11831253856738176,0.13848273730623614,love
0.02608106286139429,0.04845267579577004,0.08119538339228408,0.1150599760231593,0.1016694796448767,0.13820967703063813,0.16205188657802908,0.09816405564349104,0.11364709274493609,0.09085921778436351,0.09296996477412528,0.10758040545485782,0.08810221784585733,0.043262029700337684,0.08874125775711993,0.11803984093416976,0.13791387912354033,love
0.026081191092049448,0.04852739140341255,0.08123258416725396,0.11505688408656822,0.10166944652018127,0.13846796825276958,0.1624460740360225,0.09816406547772152,0.11385182825354585,0.09050282986791573,0.0929700196319674,0.10668752734450686,0.0868587064759797,0.04326210810256592,0.08874131688152707,0.11769516400431457,0.13752520234041796,love
0.026081136507140557,0.048795859946189096,0.08148082366459056,0.11521088041055323,0.10166947552916954,0.13827663273923185,0.16211673836662524,0.09816404838862137,0.11313831411940695,0.08887696833067833,0.09297005313725706,0.1062154258821199,0.08475974148961346,0.043262070022415736,0.08874130277081188,0.11760565473058686,0.13729809315376562,love
0.026081113554639494,0.04861227288198422,0.08108725938131403,0.1146841735232364,0.1016694893521729,0.13813326024632483,0.16181103802953653,0.09816403217921775,0.1116248919909193,0.08780293352833037,0.09297002152152271,0.10599197739548451,0.08348691918824229,0.04326204640682636,0.08874125887034509,0.11781761217032705,0.13719768503414492,love
0.026081164541484746,0.04849812975785768,0.080981324267142,0.11459323770063616,0.10166950250660275,0.13803056495055727,0.1616881198825656,0.09816407485191109,0.11233773020265991,0.088266224946851,0.09297002188225838,0.10591692133171217,0.0838191640129064,0.04326203481795559,0.08874129717237013,0.11735239243219377,0.13658565604421316,love
0.02608106237943539,0.04847346182510592,0.0812356560502862,0.11511264886603949,0.10166942981036582,0.13738988791484036,0.16085639154240156,0.09816403236961539,0.11455157273449064,0.09369392082179342,0.09296999400945931,0.11025958838105873,0.09488600448624655,0.04326207672708281,0.08874125732221119,0.11905156237539345,0.1395138697950695,love
